nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
1,1617,825,3,Tower,DEPT,Center for something,some
2,1617,825,3,Tower,DEPT,Center for something,some
3,1617,825,3,Tower,DEPT,Center for something,some
4,1617,825,3,Tower,DEPT,Center for something,some
5,1617,825,3,Tower,DEPT,Center for something,some
6,1617,825,3,Tower,DEPT,Center for something,some
7,1617,825,3,Tower,DEPT,Center for something,some
8,1617,825,3,Tower,DEPT,Center for something,some
9,1617,825,3,Tower,DEPT,Center for something,some
10,1617,825,3,Tower,DEPT,Center for something,some
11,1617,825,3,Tower,DEPT,Center for something,some
12,1617,825,3,Tower,DEPT,Center for something,some
13,1617,825,3,Tower,DEPT,Center for something,some
14,1617,825,3,Tower,DEPT,Center for something,some
15,1617,825,3,Tower,DEPT,Center for something,some
16,1617,825,3,Tower,DEPT,Center for something,some
17,1617,825,3,Tower,DEPT,Center for something,some
18,1617,825,3,Tower,DEPT,Center for something,some
19,1617,825,3,Tower,DEPT,Center for something,some
20,1617,825,3,Tower,DEPT,Center for something,some
21,1617,825,3,Tower,DEPT,Center for something,some
22,1617,825,3,Tower,DEPT,Center for something,some
23,1617,825,3,Tower,DEPT,Center for something,some
24,1617,825,3,Tower,DEPT,Center for something,some
25,1617,825,3,Tower,DEPT,Center for something,some
26,1617,825,3,Tower,DEPT,Center for something,some
27,1617,825,3,Tower,DEPT,Center for something,some
28,1617,825,3,Tower,DEPT,Center for something,some
29,1617,825,3,Tower,DEPT,Center for something,some
30,1617,825,3,Tower,DEPT,Center for something,some
31,1617,825,3,Tower,DEPT,Center for something,some
32,1617,825,3,Tower,DEPT,Center for something,some
33,1617,825,3,Tower,DEPT,Center for something,some
34,1617,825,3,Tower,DEPT,Center for something,some
35,1617,825,3,Tower,DEPT,Center for something,some
36,1617,825,3,Tower,DEPT,Center for something,some
37,1617,825,3,Tower,DEPT,Center for something,some
38,1617,825,3,Tower,DEPT,Center for something,some
39,1617,825,3,Tower,DEPT,Center for something,some
40,1617,825,3,Tower,DEPT,Center for something,some
41,1617,825,3,Tower,DEPT,Center for something,some
42,1617,825,3,Tower,DEPT,Center for something,some
43,1617,825,3,Tower,DEPT,Center for something,some
44,1617,825,3,Tower,DEPT,Center for something,some
45,1617,825,3,Tower,DEPT,Center for something,some
46,1617,825,3,Tower,DEPT,Center for something,some
47,1617,825,3,Tower,DEPT,Center for something,some
48,1617,825,3,Tower,DEPT,Center for something,some
49,1617,825,3,Tower,DEPT,Center for something,some
50,1617,825,3,Tower,DEPT,Center for something,some
51,1617,825,3,Tower,DEPT,Center for something,some
52,1617,825,3,Tower,DEPT,Center for something,some
53,1617,825,3,Tower,DEPT,Center for something,some
54,1617,825,3,Tower,DEPT,Center for something,some
55,1617,825,3,Tower,DEPT,Center for something,some
56,1617,825,3,Tower,DEPT,Center for something,some
