nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,1617,825,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,1610,1120,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,1721,931,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,1794,1146,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,2128,1300,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,1780,1029,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,2017,799,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,1748,1321,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,2099,1357,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,2055,910,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,2026,910,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,2017,910,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,1973,910,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,1950,910,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,1869,930,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,1758,930,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,1758,850,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,1627,850,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,1627,802,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,1627,930,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,1548,930,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,1627,825,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,1627,1029,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,1627,1060,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,1758,1060,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,1721,956,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,1758,956,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,1758,1120,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,1700,1120,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,1769,1146,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,1769,1280,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,1845,1280,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,1965,1280,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,1965,1239,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,2026,1239,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,2066,1239,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,1748,1280,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,1700,1280,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,1645,1246,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,2026,976,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,1758,1029,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,2066,1282,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,1700,1226,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,1845,1250,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,2091,976,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,1973,844,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,1609,1246,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,1950,871,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,1605,1029,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,1700,1158,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,1721,970,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,1645,1280,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,2026,892,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,1673,802,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,1947,1239,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,1810,930,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,1810,1280,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,1605,1008,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,2055,1330,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,1875,925,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,1955,900,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00302,2035,900,2,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
HHALL00402,1875,1025,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,1825,1025,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,1775,1080,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,1740,1165,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,1740,1230,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,1740,1280,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,2055,1280,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,1935,860,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,1615,1025,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,1825,1080,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,2060,880,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,1695,1165,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,1790,1230,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,1805,925,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,1825,1280,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,1740,1500,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,1785,830,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,1750,985,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,1725,900,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,1690,830,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,1325,655,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,1235,985,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,1325,985,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,1325,1290,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,1680,1290,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,1735,925,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,1735,900,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,1735,865,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,1735,820,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,1785,820,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,1690,820,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,1600,820,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,1600,1030,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,1735,1030,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,1735,985,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,1235,865,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,1750,865,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,1680,1275,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,1790,925,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,1815,1290,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,1980,844,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,1845,844,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,1732,924,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,1750,1284,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,2130,1284,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,2130,1045,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,1845,924,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,1965,1284,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,1750,1090,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,1732,1019,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,2065,1284,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
WELEV00LL1,1785,924,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
